,Class1.1,Class1.2,Class1.3
750298.0,0.2987415873188406,0.6924522844202899,0.008806175000000001
333139.0,0.33657895,0.6560764499999999,0.0073446
691997.0,0.587673587037037,0.3878655314814815,0.024461077777777774
182042.0,0.5021603,0.47045925000000005,0.0273807
497181.0,0.6493048586428277,0.31732173286713283,0.03337351292628939
511405.0,0.16751910000000003,0.8265683000000001,0.00591275
262326.0,0.34042152380952384,0.6485616380952381,0.011016745238095238
920217.0,0.3606802076923077,0.6211191557692308,0.01820073846153846
716993.0,0.51390525,0.47143555,0.014659175
534479.0,0.2867793166666667,0.7004205166666667,0.012800316666666667
392580.0,0.2856221,0.69984735,0.014530400000000002
338196.0,0.32082031,0.6570313999999999,0.022148356666666667
407825.0,0.364528725,0.615245775,0.02022565
131049.0,0.14736753,0.84274039,0.009892210000000002
476244.0,0.4589674270833333,0.5033431458333333,0.037689410416666666
910560.0,0.4124559166666666,0.5696531333333333,0.017891
632892.0,0.39154725,0.5895724499999999,0.0188802
497546.0,0.5124884921594544,0.4532882219893069,0.03422334900072753
413958.0,0.35613859999999997,0.6154606499999999,0.02840085
699156.0,0.2999176,0.6860682,0.01401405
413839.0,0.6176945531969363,0.3470865270425967,0.03521901410489163
933693.0,0.31874370545454545,0.6568131827272727,0.02444318787878788
313635.0,0.6243872644736842,0.34302931412099835,0.03258339635105806
901626.0,0.5448285666666667,0.42755964999999996,0.027611816666666667
199427.0,0.5611272105482457,0.40607919760964906,0.032793457719298244
651997.0,0.4905230287878789,0.48345961507575763,0.026017349621212122
837467.0,0.46291300467980295,0.5235914442528735,0.0134955586863711
103900.0,0.541330642364015,0.4212246085255706,0.03744458512753891
557375.0,0.5634061604022989,0.40422431922413793,0.03236941123563218
257962.0,0.3875924,0.59463235,0.0177753
890559.0,0.40805041500000006,0.5598795375,0.0320700975
750549.0,0.400033625,0.5910027000000001,0.00896365
847249.0,0.1586716,0.8316896,0.00963875
552252.0,0.31619135,0.66051865,0.02328995
748298.0,0.5251961493778095,0.42412435107607793,0.05067955874572949
296064.0,0.31676791904761903,0.6701857523809525,0.01304632857142857
405670.0,0.7562238265873017,0.1798699341269841,0.06390619246031745
838808.0,0.5650204735974332,0.4049610281381006,0.03001845162911665
591005.0,0.3767998,0.6026948272727273,0.020505313636363636
664484.0,0.525327296068376,0.4513165207264958,0.023356174914529914
672257.0,0.25681814999999997,0.7287758999999999,0.014405999999999999
929333.0,0.2445157743902439,0.7411789829268292,0.014305045121951219
997291.0,0.29393506428571425,0.6857438285714286,0.020321214285714286
833725.0,0.2356902,0.7191552999999999,0.045154525
238755.0,0.48647700845420233,0.4787829664431503,0.03474008931804567
446228.0,0.5728041036800214,0.3987488229055583,0.028446941341123865
177074.0,0.4659339708333333,0.4960376125,0.03802862083333333
382684.0,0.2605775,0.71709135,0.022331049999999998
328656.0,0.4286404375,0.5293099874999999,0.042049628125
277355.0,0.31861209285714287,0.6589711964285716,0.0224167125
899969.0,0.23777031875000004,0.7402383625,0.021991375
756385.0,0.2741965125,0.6993138624999999,0.0264895375
887895.0,0.48896293500388505,0.4775280021589522,0.03350897566600066
298983.0,0.4119800900480769,0.5689343299038462,0.01908546875
745592.0,0.5721482785442965,0.40041767450095184,0.027433985505808382
684592.0,0.5091748818475452,0.46291868468992253,0.027906335788113697
202952.0,0.540113075,0.431567625,0.028319324999999996
464859.0,0.5901148267518532,0.37786151223101333,0.03202376513296795
239802.0,0.6311071741071428,0.3321828339285714,0.03671004196428571
945455.0,0.30404387499999996,0.6863613,0.0095948
993428.0,0.35181417366933065,0.6236308272747546,0.02455497506585249
987537.0,0.5392277999999999,0.43510150000000003,0.0256706
892206.0,0.25947266,0.7315621250000001,0.008965265
578640.0,0.5880095283511624,0.3779385616931028,0.03405204204125065
340724.0,0.33973346583333336,0.6407688004166667,0.01949771375
368093.0,0.4270366299999999,0.5454530974999999,0.027510270000000003
223253.0,0.3245397692307692,0.6416768384615384,0.0337833875
600612.0,0.42694000833333334,0.5386353416666667,0.034424595833333335
283489.0,0.43521315000000005,0.5473431565217391,0.017443591304347826
212022.0,0.30505985,0.6786393000000001,0.01630095
994367.0,0.6076085403356558,0.3659051545775368,0.02648627413975373
247553.0,0.6685442500000001,0.30675445,0.024701300000000002
120641.0,0.44917937742802305,0.5238525802879079,0.02696809142034549
952483.0,0.56747525,0.40057545,0.0319492
839372.0,0.6924954725456167,0.2751637353114641,0.032340877307649465
667854.0,0.3577788841176471,0.6112800782352942,0.03094102588235294
533924.0,0.52207975,0.43421141351351356,0.04370873378378378
672726.0,0.5330871501160878,0.43208312984249375,0.034829766870099255
360541.0,0.40462781333333336,0.5716015033333333,0.02377084333333333
679387.0,0.5324272382341044,0.43546613951917684,0.032106578807780554
293437.0,0.46379678208874464,0.5088633893939394,0.027339807305194808
730155.0,0.3763957499999999,0.60862465,0.014979499999999998
360298.0,0.36361220000000005,0.61606165,0.020326149999999998
745226.0,0.7360306,0.2268198261904762,0.03714972380952381
645206.0,0.27907815,0.7121782,0.0087437
572982.0,0.4865919144787645,0.476573533976834,0.03683444272844273
234073.0,0.44681468942028985,0.5338715228985507,0.019313839855072464
863533.0,0.510475615,0.461582965,0.02794131166666667
335061.0,0.33193744999999997,0.6406686,0.027393999999999995
997459.0,0.5296725813397887,0.41860423949935105,0.05172314531007418
942637.0,0.26154979999999994,0.72478015,0.013669900000000002
796963.0,0.39012997974789915,0.5855804316386555,0.024289629789915966
157950.0,0.6062771774264091,0.3636029057041975,0.0301198629388936
722192.0,0.5035572886431624,0.465707713258547,0.03073484691239316
713328.0,0.48514667423144253,0.48300160106442575,0.03185182531687675
938576.0,0.5051523140338828,0.45409475596611715,0.04075289797619047
751753.0,0.465456172079411,0.5086658506684139,0.02587794537155898
737878.0,0.28771084999999996,0.69098325,0.021305800000000003
499620.0,0.34526903914141416,0.6303396368686869,0.024391365151515153
890788.0,0.35478635000000003,0.6305854166666667,0.014628233333333334
